"admin0_name","admin1_name","admin2_name","iso3","gaul0_code","gaul1_code","gaul2_code","weather-station_density","cv-precipitation_agreement","seasonal_frcst_skill","short-term_frcst_skill","cloud-coverage_meanannual","cis_readiness_index"
"Eswatini","Hhohho",\N,"SWZ",123,1285,\N,0.7615946531295776,"0.011564204469323158",0.30234143137931824,0.6314229369163513,0.5496789813041687,0.42673081159591675
"Eswatini","Hhohho","Ndzingeni","SWZ",123,1285,102993,0.758892834186554,"0.0",0.29818931221961975,0.6412363648414612,0.568938136100769,0.4245796203613281
"Eswatini","Hhohho","Nkhaba","SWZ",123,1285,102994,0.7668368220329285,"0.010015278123319149",0.29316720366477966,0.6146308183670044,0.5233830213546753,0.42116254568099976
"Eswatini","Hhohho","Ntfonjeni","SWZ",123,1285,102995,0.7600002288818359,"0.009398829191923141",0.31739532947540283,0.6243012547492981,0.5578551888465881,0.42777392268180847
"Eswatini","Hhohho","Piggs Peak","SWZ",123,1285,102996,0.7639515995979309,"0.0",0.29592466354370117,0.6189252734184265,0.5444085597991943,0.41970041394233704
"Eswatini","Hhohho","Siphocosini","SWZ",123,1285,102997,0.7716515064239502,"0.0",0.2975062131881714,0.6062337756156921,0.5131849646568298,0.41884785890579224
"Eswatini","Hhohho","Timphisini","SWZ",123,1285,102998,0.7559577822685242,"0.02881302870810032",0.3301883339881897,0.6329562067985535,0.5894244909286499,0.43697884678840637
"Eswatini","Lubombo","Dvokodvweni","SWZ",123,1286,102999,0.7499088644981384,"0.0",0.29955047369003296,0.6892139911651611,0.5769810676574707,0.43466833233833313
"Eswatini","Lubombo","Gilgal","SWZ",123,1286,103000,0.7545614242553711,"0.0",0.2964688241481781,0.6827772855758667,0.5787879824638367,0.43345189094543457
"Eswatini","Lubombo","Lomahasha","SWZ",123,1286,103001,0.7392008304595947,"0.0025144813116639853",0.30510109663009644,0.7001706957817078,0.5570550560951233,0.4367467761039734
"Eswatini","Lubombo","Lubuli","SWZ",123,1286,103002,0.7483803033828735,"0.0",0.28564104437828064,0.7136569023132324,0.5669729709625244,0.43691956996917725
"Eswatini","Lubombo","Lugongolweni","SWZ",123,1286,103003,0.7428426742553711,"0.0",0.29843470454216003,0.7073267102241516,0.5548685193061829,0.4371510148048401
"Eswatini","Lubombo","Matsanjeni North","SWZ",123,1286,103004,0.7414416670799255,"0.0",0.28739744424819946,0.7095502614974976,0.5529806613922119,0.43459734320640564
"Eswatini","Lubombo","Mhlume","SWZ",123,1286,103005,0.7468157410621643,"0.08071979880332947",0.30444565415382385,0.6873014569282532,0.5902923345565796,0.4548206627368927
"Eswatini","Lubombo","Mpolonjeni","SWZ",123,1286,103006,0.7479510307312012,"0.0",0.29530444741249084,0.7049625515937805,0.5728780031204224,0.43705451488494873
"Eswatini","Lubombo",\N,"SWZ",123,1286,\N,0.7479814291000366,"0.011982820928096771",0.2957446277141571,0.6986067295074463,0.5719029903411865,0.43857893347740173
"Eswatini","Lubombo","Nkilongo","SWZ",123,1286,103007,0.7467542290687561,"0.0",0.28932225704193115,0.7177963256835938,0.578807532787323,0.43846821784973145
"Eswatini","Lubombo","Siphofaneni","SWZ",123,1286,103008,0.7537485361099243,"0.0",0.29434090852737427,0.690566897392273,0.5809146165847778,0.4346640706062317
"Eswatini","Lubombo","Sithobela","SWZ",123,1286,103009,0.7555246353149414,"0.0",0.2931908965110779,0.6899343729019165,0.5673440098762512,0.43466249108314514
